Pays,nom_standard,nom_sans_accent,nom_standard_majuscule,dep_code,nom_standard
France,L'Abergement-Clémenciat,l-abergement-clemenciat,L'ABERGEMENT-CLÉMENCIAT,01,L'Abergement-Clémenciat
France,L'Abergement-de-Varey,l-abergement-de-varey,L'ABERGEMENT-DE-VAREY,01,L'Abergement-de-Varey
France,Ambérieu-en-Bugey,amberieu-en-bugey,AMBÉRIEU-EN-BUGEY,01,Ambérieu-en-Bugey
France,Ambérieux-en-Dombes,amberieux-en-dombes,AMBÉRIEUX-EN-DOMBES,01,Ambérieux-en-Dombes
France,Ambléon,ambleon,AMBLÉON,01,Ambléon
France,Ambronay,ambronay,AMBRONAY,01,Ambronay
France,Ambutrix,ambutrix,AMBUTRIX,01,Ambutrix
France,Andert-et-Condon,andert-et-condon,ANDERT-ET-CONDON,01,Andert-et-Condon
France,Anglefort,anglefort,ANGLEFORT,01,Anglefort
France,Apremont,apremont,APREMONT,01,Apremont
France,Aranc,aranc,ARANC,01,Aranc
France,Arandas,arandas,ARANDAS,01,Arandas
France,Arbent,arbent,ARBENT,01,Arbent
France,Arboys en Bugey,arboys-en-bugey,ARBOYS EN BUGEY,01,Arboys en Bugey
France,Arbigny,arbigny,ARBIGNY,01,Arbigny
France,Argis,argis,ARGIS,01,Argis
France,Armix,armix,ARMIX,01,Armix
France,Ars-sur-Formans,ars-sur-formans,ARS-SUR-FORMANS,01,Ars-sur-Formans
France,Artemare,artemare,ARTEMARE,01,Artemare
France,Asnières-sur-Saône,asnieres-sur-saone,ASNIÈRES-SUR-SAÔNE,01,Asnières-sur-Saône
France,Attignat,attignat,ATTIGNAT,01,Attignat
France,Bâgé-Dommartin,bage-dommartin,BÂGÉ-DOMMARTIN,01,Bâgé-Dommartin
France,Bâgé-le-Châtel,bage-le-chatel,BÂGÉ-LE-CHÂTEL,01,Bâgé-le-Châtel
France,Balan,balan,BALAN,01,Balan
France,Baneins,baneins,BANEINS,01,Baneins
France,Beaupont,beaupont,BEAUPONT,01,Beaupont
France,Beauregard,beauregard,BEAUREGARD,01,Beauregard
